term,coef,odds_ratio,p_value,ci_low,ci_high
cloud_storage,0.6578145371190358,1.9305685347326782,0.0001144615790531474,1.3820960736247863,2.696697384809819
org_agreements,0.45908770543664557,1.5826295019072385,0.02368682235359695,1.0632500546470247,2.355716916599326
regionality,0.33464807337909613,1.3974484993454146,0.0009986371803541682,1.1449283722898433,1.7056633022527425
org_size_int,0.22086839057567922,1.2471592818474224,0.00019873147111735756,1.110175948237955,1.4010448314673747
global_north_south_int,0.10783465413010718,1.1138635574206839,0.55992450405152,0.7751341962090541,1.6006157780390917
merl_person,0.038320828838489,1.0390645412780588,0.8433685691717547,0.710487821005862,1.5195969431437653
data_use_policy,0.008084100832565376,1.0081168654068973,0.9639971588742298,0.7096815317894292,1.4320502490113778
org_years_raw,-0.0007976554821330608,0.9992026625604326,0.6878201394512209,0.9953225330562943,1.0030979182216395
tech_person,-0.29987388221558847,0.7409116569262242,0.1732969425835127,0.4811857190134772,1.1408278792949542
const,-1.1341708611213845,0.3216887354264173,3.1241777298248835e-06,0.1996995377871238,0.5181967051449025
